"FuMOD" "Fu"
"Gene02624" "Dodecin, a flavin storage/sequestration protein"
"Gene02625" "dolichol-p-glucose synthetase, (glycosyltransferase)"
"Gene02626" "Dolichol-phosphate mannosyltransferase"
"Gene02627" "Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) homolog"
"Gene02628" "Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster"
"Gene02629" "dolichyl-phosphate-mannose-protein mannosyltransferase family protein"
"Gene02630" "Domain of unknown function / ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
"Gene02631" "Domain of unknown function / Efflux ABC transporter, permease protein"
"Gene02632" "Domain of unknown function DUF1833"
"Gene02633" "Domain of unknown function DUF4112"
"Gene02634" "Domain often clustered or fused with uracil-DNA glycosylase / Uracil-DNA glycosylase, putative family 6 (EC 3.2.2.27)"
"Gene02635" "DotB protein"
"Gene02636" "DotC protein"
"Gene02637" "DoxD-like family protein"
"Gene02638" "doxorubicin biosynthesis enzyme DnrV"
"Gene02639" "DoxX family protein"
"Gene02640" "Drug resistance transporter, Bcr/CflA family"
"Gene02641" "drug resistance transporter, EmrB/QacA family"
"Gene02642" "DSBA oxidoreductase"
"Gene02643" "DSBA-like thioredoxin family protein"
"Gene02644" "dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase (EC 2.3.1.197) / dTDP-6-deoxy-3,4-keto-hexulose isomerase (EC 5.3.2.3)"
"Gene02645" "dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)"
"Gene02646" "dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"
"Gene02647" "dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)"
"Gene02648" "dTDP-6-deoxy-L-hexose 3-O-methyltransferase"
"Gene02649" "DTDP-6-deoxy-L-hexose 3-O-methyltransferase"
"Gene02650" "dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
"Gene02651" "dTDP-L-rhamnose 4-epimerase (EC 5.1.3.25)"
"Gene02652" "dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL"
"Gene02653" "dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)"
"Gene02654" "DUF1022 domain-containing protein"
"Gene02655" "DUF1275 domain-containing protein"
"Gene02656" "DUF1850 domain-containing protein"
"Gene02657" "DUF447 family protein"
"Gene02658" "DUF488 family protein SAV0238"
"Gene02659" "duf556 family protein"
"Gene02660" "DUF742 protein, component of G-protein-coupled receptor (GPCR) system"
"Gene02661" "Dye-decolorizing peroxidase (EC 1.11.1.7)"
"Gene02662" "EAL domain protein"
"Gene02663" "ECF family sigma factor"
"Gene02664" "Ectoine hydrolase"
"Gene02665" "Ectoine utilization protein EutA, probable arylmalonate decarboxylase"
"Gene02666" "Ectoine utilization protein EutB, threonine dehydratase-like"
"Gene02667" "Ectoine utilization protein EutC, similar to ornithine cyclodeaminase"
"Gene02668" "Ectoine/hydroxyectoine ABC transporter ATP-binding protein, EhuA"
"Gene02669" "Ectoine/hydroxyectoine ABC transporter permease protein, EhuC"
"Gene02670" "Ectoine/hydroxyectoine ABC transporter permease protein, EhuD"
"Gene02671" "Ectoine/hydroxyectoine ABC transporter solute-binding protein, EhuB"
"Gene02672" "Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydC subunit"
"Gene02673" "Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit"
"Gene02674" "Efflux ABC transporter, ATP-binding protein"
"Gene02675" "Efflux ABC transporter, permease protein"
"Gene02676" "Efflux ABC transporter, permease protein / Efflux ABC transporter, permease protein"
"Gene02677" "Efflux ABC transporter, permease/ATP-binding protein"
"Gene02678" "Efflux ABC transporter, permease/ATP-binding protein / Domain of unknown function"
"Gene02679" "Efflux ABC transporter, permease/ATP-binding protein Atu2242"
"Gene02680" "Efflux ABC transporter, permease/ATP-binding protein ExsA"
"Gene02681" "Efflux ABC transporter, permease/ATP-binding protein mlr7818"
"Gene02682" "Efflux ABC transporter, permease/ATP-binding protein YwjA"
"Gene02683" "Efflux transport system, outer membrane factor (OMF) lipoprotein"
"Gene02684" "Electron transfer flavoprotein-quinone oxidoreductase FixC"
"Gene02685" "Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)"
"Gene02686" "Electron transfer flavoprotein, alpha subunit"
"Gene02687" "Electron transfer flavoprotein, alpha subunit FixB"
"Gene02688" "Electron transfer flavoprotein, beta subunit"
"Gene02689" "Electron transfer flavoprotein, beta subunit FixA"
"Gene02690" "elements of external origin; phage-related functions and prophages"
"Gene02691" "elements of external origin; transposon-related functions"
"Gene02692" "Elements of external origin; Transposon-related functions"
"Gene02693" "Elongation factor G-like protein RSP_2247"
"Gene02694" "Elongation factor G-like protein TM_1651"
"Gene02695" "Encapsulating protein for a DyP-type peroxidase or ferritin-like protein oligomers"
"Gene02696" "endo-1,3-1,4-beta-glycanase"
"Gene02697" "Endo-1,3-1,4-beta-glycanase exsH"
"Gene02698" "endo-1,3-1,4-beta-glycanase protein"
"Gene02699" "endo-1,3-1,4-beta-glycanase, C-terminal secretion signal protein"
"Gene02700" "Endo-1,4-beta-xylanase"
"Gene02701" "Endo-1,4-beta-xylanase (EC 3.2.1.8)"
"Gene02702" "Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)"
"Gene02703" "Endo-beta-1,3-1,4 glucanase (licheninase) (EC 3.2.1.73)"
"Gene02704" "Endo-beta-1,3-1,4 glucanase (Licheninase) (EC 3.2.1.73)"
"Gene02705" "endo-type 6-aminohexanoate oligomer hydrolase"
"Gene02706" "endodeoxyribonuclease RusA"
"Gene02707" "Endoglucanase E1 precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase E1) (Cellulase E1) (Endocellulase E1)"
"Gene02708" "endonuclease"
"Gene02709" "Endonuclease"
"Gene02710" "Endonuclease (EC 3.1.-.-)"
"Gene02711" "Endonuclease (EC 3.1.30.-)"
"Gene02712" "Endonuclease I precursor (EC 3.1.21.1)"
"Gene02713" "Endonuclease III (EC 4.2.99.18)"
"Gene02714" "Endonuclease relaxase"
"Gene02715" "Endonuclease V (EC 3.1.21.7)"
"Gene02716" "Endonuclease( EC:3.1.21.2 )"
"Gene02717" "Endonuclease/exonuclease/phosphatase"
"Gene02718" "Endoribonuclease L-PSP"
"Gene02719" "Energy-dependent translational throttle protein EttA"
"Gene02720" "Enolase (EC 4.2.1.11)"
"Gene02721" "Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)"
"Gene02722" "Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)"
"Gene02723" "Enoyl-CoA hydratase"
"Gene02724" "Enoyl-CoA hydratase (EC 4.2.1.17)"
"Gene02725" "Enoyl-CoA hydratase (EC 4.2.1.17) @ Enoyl-CoA hydratase EchA5 (EC 4.2.1.17)"
"Gene02726" "Enoyl-CoA hydratase (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)"
"Gene02727" "Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)"
"Gene02728" "Enoyl-CoA hydratase (EC 4.2.1.17) => degradation of branched-chain amino acids and alpha-keto acids"
"Gene02729" "Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)"
"Gene02730" "Enoyl-CoA hydratase / Phosphate acetyltransferase (EC 2.3.1.8)"
"Gene02731" "Enoyl-CoA hydratase/isomerase"
"Gene02732" "Enoyl-CoA hydratase/isomerase family protein"
"Gene02733" "Enterobactin exporter EntS"
"Gene02734" "Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)"
"Gene02735" "Enzymatic protein of unknown function"
"Gene02736" "enzyme; Degradation of DNA"
"Gene02737" "epoxide hydrolase"
"Gene02738" "Epoxide hydrolase (EC 3.3.2.3)"
"Gene02739" "Epoxide hydrolase (EC 3.3.2.9)"
"Gene02740" "Epoxyqueuosine reductase (EC 1.17.99.6) QueG"
"Gene02741" "Epstein-Barr nuclear antigen 1 (EBV nuclear antigen 1) (EBNA-1)"
"Gene02742" "ErfK/YbiS/YcfS/YnhG family protein"
"Gene02743" "EriC-type fluoride/proton exchange protein"
"Gene02744" "Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7)"
"Gene02745" "Error-prone repair protein ImuA"
"Gene02746" "Error-prone repair protein UmuD"
"Gene02747" "Error-prone, lesion bypass DNA polymerase domain"
"Gene02748" "Error-prone, lesion bypass DNA polymerase V (UmuC)"
"Gene02749" "Erwinia chrysanthemi phospholipase C (plcA)"
"Gene02750" "Erythromycin esterase homolog"
"Gene02751" "Esterase"
"Gene02752" "Esterase LipW"
"Gene02753" "esterase, putative"
"Gene02754" "Esterase/lipase"
"Gene02755" "Esterase/lipase, sll0644 homolog"
"Gene02756" "Esterase/lipase/thioesterase"
"Gene02757" "Esterase/lipase/thioesterase family active site"
"Gene02758" "Esterase/lipase/thioesterase family protein"
"Gene02759" "Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)"
"Gene02760" "Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)"
"Gene02761" "Ethanolamine operon regulatory protein"
"Gene02762" "Ethanolamine permease"
"Gene02763" "Ethidium bromide-methyl viologen resistance protein EmrE"
"Gene02764" "Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming"
"Gene02765" "Eukaryotic translation initiation factor 3 subunit 10"
"Gene02766" "Eukaryotic-type low-affinity urea transporter"
"Gene02767" "Excinuclease ABC subunit A"
"Gene02768" "Excinuclease ABC subunit A paralog of unknown function"
"Gene02769" "Excinuclease ABC subunit B"
"Gene02770" "Excinuclease ABC subunit C"
"Gene02771" "Excinuclease ABC, C subunit-like"
"Gene02772" "Excinuclease ATPase subunit"
"Gene02773" "Excisionase domain protein"
"Gene02774" "Exodeoxyribonuclease I"
"Gene02775" "Exodeoxyribonuclease I (EC 3.1.11.1)"
"Gene02776" "Exodeoxyribonuclease III (EC 3.1.11.2)"
"Gene02777" "Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)"
"Gene02778" "Exodeoxyribonuclease V beta chain"
"Gene02779" "Exodeoxyribonuclease V beta chain (EC 3.1.11.5)"
"Gene02780" "Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)"
"Gene02781" "Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)"
"Gene02782" "Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)"
"Gene02783" "Exoenzymes regulatory protein AepA precursor"
"Gene02784" "Exonuclease SbcC"
"Gene02785" "Exonuclease SbcD"
"Gene02786" "Exonuclease VII large subunit-like protein"
"Gene02787" "exonuclease, putative"
"Gene02788" "Exopolyphosphatase (EC 3.6.1.11)"
"Gene02789" "Exopolyphosphatase-related protein"
"Gene02790" "exopolysaccharide biosynthesis domain protein"
"Gene02791" "Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)"
"Gene02792" "Exopolysaccharide biosynthesis protein"
"Gene02793" "Exopolysaccharide production protein ExoF precursor"
"Gene02794" "EXOPOLYSACCHARIDE PRODUCTION PROTEIN EXOF PRECURSOR"
"Gene02795" "EXOPOLYSACCHARIDE PRODUCTION PROTEIN EXOQ"
"Gene02796" "Exopolysaccharide production protein ExoZ"
"Gene02797" "Exopolysaccharide synthesis protein exoD"
"Gene02798" "Exopolysaccharide synthesis protein ExoD-related protein"
"Gene02799" "Exopolysaccharide synthesis, ExoD"
"Gene02800" "exoQ-like protein"
"Gene02801" "Exoribonuclease II (EC 3.1.13.1)"
"Gene02802" "Exported zinc metalloprotease YfgC precursor"
"Gene02803" "expressed protein"
"Gene02804" "Extensin-like protein precursor"
"Gene02805" "Extracellular ligand-binding receptor"
"Gene02806" "extracellular solute-binding protein, family 3"
"Gene02807" "Extracellular substrate-binding protein associated with quino(hemo)protein alcohol dehydrogenase"
"Gene02808" "EXTRACYTOPLASMIC FUNCTION ALTERNATIVE SIGMA FACTOR"
"Gene02809" "F47B8.5"
"Gene02810" "FAD binding domain protein"
"Gene02811" "FAD linked oxidase domain protein"
"Gene02812" "FAD-binding monooxygenase, PheA/TfdB family, similarity to 2,4-dichlorophenol 6-monooxygenase"
"Gene02813" "FAD-dependent monooxygenase PhzS"
"Gene02814" "FAD-dependent oxidoreductase"
"Gene02815" "FAD-dependent oxidoreductase SPO0682"
"Gene02816" "FAD-dependent pyridine nucleotide-disulphide oxidoreductase"
"Gene02817" "FAD:protein FMN transferase (EC 2.7.1.180)"
"Gene02818" "FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180), CC_3059-CC_3061-associated"
"Gene02819" "FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180), Reut_B5165-associated"
"Gene02820" "FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase NosX (EC 2.7.1.180)"
"Gene02821" "FadE30"
"Gene02822" "failed axon connections protein"
"Gene02823" "farnesyl cysteine carboxyl-methyltransferase"
"Gene02824" "Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)"
"Gene02825" "Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase)"
"Gene02826" "Fatty-acid peroxygenase (EC 1.11.2.4)"
"Gene02827" "Fatty-acid-CoA ligase FadD7"
"Gene02828" "Fe-containing alcohol dehydrogenase AttL"
"Gene02829" "Fe-S oxidoreductase"
"Gene02830" "Fe-S protein, homolog of lactate dehydrogenase SO1521"
"Gene02831" "Fe2+-dicitrate sensor, membrane component"
"Gene02832" "FecR protein"
"Gene02833" "Ferredoxin"
"Gene02834" "Ferredoxin reductase"
"Gene02835" "Ferredoxin reductase / At1g63940 homolog"
"Gene02836" "Ferredoxin--NADP(+) reductase (EC 1.18.1.2) @ Flavodoxin--NADP(+) reductase (EC 1.19.1.1)"
"Gene02837" "Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)"
"Gene02838" "Ferredoxin--nitrite reductase (EC 1.7.7.1)"
"Gene02839" "Ferredoxin--sulfite reductase, actinobacterial type (EC 1.8.7.1)"
"Gene02840" "Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)"
"Gene02841" "Ferredoxin-like protein FixX"
"Gene02842" "Ferredoxin-like protein involved in electron transfer"
"Gene02843" "Ferredoxin-type protein NapG (periplasmic nitrate reductase)"
"Gene02844" "Ferredoxin, 2Fe-2S"
"Gene02845" "Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)"
"Gene02846" "Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC"
"Gene02847" "Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD"
"Gene02848" "Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB"
"Gene02849" "Ferric iron ABC transporter, ATP-binding protein"
"Gene02850" "Ferric iron ABC transporter, iron-binding protein"
"Gene02851" "Ferric iron ABC transporter, permease protein"
"Gene02852" "Ferric reductase (1.6.99.14)"
"Gene02853" "Ferric reductase domain protein transmembrane component domain"
"Gene02854" "Ferric siderophore receptor, TonB dependent"
"Gene02855" "Ferric siderophore transport system, biopolymer transport protein ExbB"
"Gene02856" "Ferric siderophore transport system, periplasmic binding protein TonB"
"Gene02857" "Ferric uptake regulation protein FUR"
"Gene02858" "Ferrichrome transport system permease protein FhuB"
"Gene02859" "Ferrichrome-iron receptor"
"Gene02860" "Ferrichrome-iron receptor @ Iron siderophore receptor protein"
"Gene02861" "Ferrienterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)"
"Gene02862" "ferripyochelin binding protein"
"Gene02863" "Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)"
"Gene02864" "Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain"
"Gene02865" "Ferrous iron transport permease EfeU"
"Gene02866" "Ferrous iron transport peroxidase EfeB"
"Gene02867" "Ferrous iron transporter FeoB"
"Gene02868" "feruloyl-CoA synthase"
"Gene02869" "Feruloyl-CoA synthetase"
"Gene02870" "FHA domain containing protein"
"Gene02871" "Fibroin heavy chain precursor"
"Gene02872" "Fibronectin type III domain protein"
"Gene02873" "Fic domain protein, MA2133 type"
"Gene02874" "Fic domain protein, PA0574 type"
"Gene02875" "Fic domain protein, Pden_3305 type"
"Gene02876" "Fic family protein"
"Gene02877" "Fic family protein MloA"
"Gene02878" "FIG00001074: hypothetical protein"
"Gene02879" "FIG00003370: Multicopper polyphenol oxidase"
"Gene02880" "FIG00027233: possible membrane protein"
"Gene02881" "FIG000325: clustered with transcription termination protein NusA"
"Gene02882" "FIG000557: hypothetical protein co-occurring with RecR"
"Gene02883" "FIG000605: protein co-occurring with transport systems (COG1739)"
"Gene02884" "FIG000875: Thioredoxin domain-containing protein EC-YbbN"
"Gene02885" "FIG001196: Membrane protein YedZ"
"Gene02886" "FIG001353: Acetyltransferase"
"Gene02887" "FIG001385: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)"
"Gene02888" "FIG001571: Hypothetical protein"
"Gene02889" "FIG001587: exported protein"
"Gene02890" "FIG002003: Protein YdjA"
"Gene02891" "FIG002076: hypothetical protein"
"Gene02892" "FIG002261: Cytochrome c family protein"
"Gene02893" "FIG002283: Isochorismatase family protein"
"Gene02894" "FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster"
"Gene02895" "FIG002577: Putative lipoprotein precursor"
"Gene02896" "FIG003003: hypothetical protein"
"Gene02897" "FIG003033: Helicase domain protein"
"Gene02898" "FIG003269: Prophage tail protein"
"Gene02899" "FIG003437: hypothetical with DnaJ-like domain"
"Gene02900" "FIG00344496: hypothetical protein"
"Gene02901" "FIG003492: Threonine dehydrogenase and related Zn-dependent dehydrogenases"
"Gene02902" "FIG00349444: hypothetical protein"
"Gene02903" "FIG00350640: hypothetical protein"
"Gene02904" "FIG003573: hypothetical protein"
"Gene02905" "FIG003603: membrane protein, putative"
"Gene02906" "FIG003620: Proteophosphoglycan precursor (Fragment)"
"Gene02907" "FIG00364665: hypothetical protein"
"Gene02908" "FIG003847: Oxidoreductase (flavoprotein)"
"Gene02909" "FIG003879: Predicted amidohydrolase; Nit"
"Gene02910" "FIG00418427: hypothetical protein"
"Gene02911" "FIG00432178: hypothetical protein"
"Gene02912" "FIG00439679: hypothetical protein"
"Gene02913" "FIG00439805: hypothetical protein"
"Gene02914" "FIG00440041: hypothetical protein"
"Gene02915" "FIG00440100: hypothetical protein"
"Gene02916" "FIG00440334: hypothetical protein"
"Gene02917" "FIG00440463: hypothetical protein"
"Gene02918" "FIG00440596: hypothetical protein"
"Gene02919" "FIG00440615: hypothetical protein"
"Gene02920" "FIG00440777: hypothetical protein"
"Gene02921" "FIG00441000: hypothetical protein"
"Gene02922" "FIG00441001: hypothetical protein"
"Gene02923" "FIG00441456: hypothetical protein"
"Gene02924" "FIG00441898: hypothetical protein"
"Gene02925" "FIG00441982: hypothetical protein"
"Gene02926" "FIG00442074: hypothetical protein"
"Gene02927" "FIG00443055: hypothetical protein"
"Gene02928" "FIG00443320: hypothetical protein"
"Gene02929" "FIG00443335: hypothetical protein"
"Gene02930" "FIG00443552: hypothetical protein"
"Gene02931" "FIG004436: Protein related to deoxyribodipyrimidine photolyase"
"Gene02932" "FIG00444140: hypothetical protein"
"Gene02933" "FIG00444565: hypothetical protein"
"Gene02934" "FIG00445390: hypothetical protein"
"Gene02935" "FIG00446125: hypothetical protein"
"Gene02936" "FIG00447258: hypothetical protein"
"Gene02937" "FIG00449785: hypothetical protein"
"Gene02938" "FIG00449880: hypothetical protein"
"Gene02939" "FIG00450046: hypothetical protein"
"Gene02940" "FIG00450081: hypothetical protein"
"Gene02941" "FIG00450103: hypothetical protein"
"Gene02942" "FIG00450136: hypothetical protein"
"Gene02943" "FIG00450155: hypothetical protein"
"Gene02944" "FIG00450194: hypothetical protein"
"Gene02945" "FIG00450301: hypothetical protein"
"Gene02946" "FIG00450305: hypothetical protein"
"Gene02947" "FIG00450379: hypothetical protein"
"Gene02948" "FIG00450386: hypothetical protein"
"Gene02949" "FIG00450386: membrane protein"
"Gene02950" "FIG00450499: hypothetical protein"
"Gene02951" "FIG00450516: Zinc-finger domain protein"
"Gene02952" "FIG00450601: hypothetical protein"
"Gene02953" "FIG00450775: hypothetical protein"
"Gene02954" "FIG00450847: hypothetical protein"
"Gene02955" "FIG00450926: hypothetical protein"
"Gene02956" "FIG00450953: hypothetical protein"
"Gene02957" "FIG00450955: hypothetical protein"
"Gene02958" "FIG00451037: hypothetical protein"
"Gene02959" "FIG00451076: hypothetical protein"
"Gene02960" "FIG00451120: hypothetical protein"
"Gene02961" "FIG00451121: hypothetical protein"
"Gene02962" "FIG00451123: hypothetical protein"
"Gene02963" "FIG00451228: hypothetical protein"
"Gene02964" "FIG00451263: hypothetical protein"
"Gene02965" "FIG00451283: hypothetical protein"
"Gene02966" "FIG00451868: hypothetical protein"
"Gene02967" "FIG00452795: hypothetical protein"
"Gene02968" "FIG00453152: hypothetical protein"
"Gene02969" "FIG00453189: hypothetical protein"
"Gene02970" "FIG00453579: hypothetical protein"
"Gene02971" "FIG00453680: hypothetical protein"
"Gene02972" "FIG00455092: hypothetical protein"
"Gene02973" "FIG00455579: hypothetical protein"
"Gene02974" "FIG00455581: hypothetical protein"
"Gene02975" "FIG004556: membrane metalloprotease"
"Gene02976" "FIG00457084: hypothetical protein"
"Gene02977" "FIG00458971: hypothetical protein"
"Gene02978" "FIG00459501: hypothetical protein"
"Gene02979" "FIG00460159: hypothetical protein"
"Gene02980" "FIG00460817: hypothetical protein"
"Gene02981" "FIG00461159: hypothetical protein"
"Gene02982" "FIG00461217: hypothetical protein"
"Gene02983" "FIG00461728: hypothetical protein"
"Gene02984" "FIG00461899: hypothetical protein"
"Gene02985" "FIG00463476: hypothetical protein"
"Gene02986" "FIG00463815: hypothetical protein"
"Gene02987" "FIG004655: Polysaccharide deacetylase"
"Gene02988" "FIG00468159: hypothetical protein"
"Gene02989" "FIG004684: SpoVR-like protein"
"Gene02990" "FIG004694: Hypothetical protein"
"Gene02991" "FIG00480696: hypothetical protein"
"Gene02992" "FIG00481142: hypothetical protein"
"Gene02993" "FIG00481358: hypothetical protein"
"Gene02994" "FIG00481710: hypothetical protein"
"Gene02995" "FIG00482200: hypothetical protein"
"Gene02996" "FIG00483998: conserved small protein"
"Gene02997" "FIG004851: hypothetical protein"
"Gene02998" "FIG005069: Hypothetical protein"
"Gene02999" "FIG00521015: hypothetical protein"
"Gene03000" "FIG00533782: hypothetical protein"
"Gene03001" "FIG005429: hypothetical protein"
"Gene03002" "FIG005495: hypothetical protein"
"Gene03003" "FIG00553451: hypothetical protein"
"Gene03004" "FIG00553873: hypothetical protein"
"Gene03005" "FIG00555764: hypothetical protein"
"Gene03006" "FIG00556062: hypothetical protein"
"Gene03007" "FIG00556979: hypothetical protein"
"Gene03008" "FIG00567468: TatD-related DNase"
"Gene03009" "FIG00572444: hypothetical protein"
"Gene03010" "FIG00576679: hypothetical protein"
"Gene03011" "FIG00580569: hypothetical protein"
"Gene03012" "FIG00582124: hypothetical protein"
"Gene03013" "FIG005935: membrane protein"
"Gene03014" "FIG00597725: hypothetical protein"
"Gene03015" "FIG006036: phage encoded DNA polymerase I (EC 2.7.7.7)"
"Gene03016" "FIG006045: Sigma factor, ECF subfamily"
"Gene03017" "FIG006126: DNA helicase, restriction/modification system component YeeB"
"Gene03018" "FIG00613342: Bacterial patatin-like phospholipase domain containing protein"
"Gene03019" "FIG006285: ICC-like protein phosphoesterase"
"Gene03020" "FIG00636320: hypothetical protein"
"Gene03021" "FIG00638051: hypothetical protein"
"Gene03022" "FIG00638143: hypothetical protein"
"Gene03023" "FIG00640418: hypothetical protein"
"Gene03024" "FIG00641023: hypothetical protein"
"Gene03025" "FIG00641944: hypothetical protein"
"Gene03026" "FIG00642311: hypothetical protein"
"Gene03027" "FIG00643583: hypothetical protein"
"Gene03028" "FIG00645039: hypothetical protein with HTH-domain"
"Gene03029" "FIG00657500: hypothetical protein"
"Gene03030" "FIG00660498: hypothetical protein"
"Gene03031" "FIG006611: nucleotidyltransferase"
"Gene03032" "FIG00661854: hypothetical protein"
"Gene03033" "FIG00673147: hypothetical protein"
"Gene03034" "FIG00675231: hypothetical protein"
"Gene03035" "FIG00687570: hypothetical protein"
"Gene03036" "FIG00687966: hypothetical protein"
"Gene03037" "FIG00696143: hypothetical protein"
"Gene03038" "FIG00696205: hypothetical protein"
"Gene03039" "FIG00696983: hypothetical protein"
"Gene03040" "FIG00715926: hypothetical protein"
"Gene03041" "FIG00720292: hypothetical protein"
"Gene03042" "FIG00721371: hypothetical protein"
"Gene03043" "FIG007317: Chromosome segregation protein SMC-like"
"Gene03044" "FIG00738105: hypothetical protein"
"Gene03045" "FIG00740755: hypothetical protein"
"Gene03046" "FIG00740931: hypothetical protein"
"Gene03047" "FIG00741119: hypothetical protein"
"Gene03048" "FIG00741453: hypothetical protein"
"Gene03049" "FIG00741746: hypothetical protein"
"Gene03050" "FIG00752224: hypothetical protein"
"Gene03051" "FIG00761799: membrane protein"
"Gene03052" "FIG00764587: hypothetical protein"
"Gene03053" "FIG00765372: hypothetical protein"
"Gene03054" "FIG00770865: hypothetical protein"
"Gene03055" "FIG007785: exported protein"
"Gene03056" "FIG00782644: hypothetical protein"
"Gene03057" "FIG00784359: hypothetical protein"
"Gene03058" "FIG00784623: hypothetical protein"
"Gene03059" "FIG00790206: hypothetical protein"
"Gene03060" "FIG00791205: hypothetical protein"
"Gene03061" "FIG00791715: hypothetical protein"
"Gene03062" "FIG00791741: hypothetical protein"
"Gene03063" "FIG00792107: hypothetical protein"
"Gene03064" "FIG00792156: hypothetical protein"
"Gene03065" "FIG00792978: hypothetical protein"
"Gene03066" "FIG00793056: hypothetical protein"
"Gene03067" "FIG00793127: hypothetical protein"
"Gene03068" "FIG00793225: hypothetical protein"
"Gene03069" "FIG00793260: hypothetical protein"
"Gene03070" "FIG00793325: hypothetical protein"
"Gene03071" "FIG00793373: hypothetical protein"
"Gene03072" "FIG00793420: hypothetical protein"
"Gene03073" "FIG00793525: hypothetical protein"
"Gene03074" "FIG00793849: hypothetical protein"
"Gene03075" "FIG00793979: hypothetical protein"
"Gene03076" "FIG00794466: hypothetical protein"
"Gene03077" "FIG00794787: hypothetical protein"
"Gene03078" "FIG00795176: hypothetical protein"
"Gene03079" "FIG00799373: hypothetical protein"
"Gene03080" "FIG00799375: hypothetical protein"
"Gene03081" "FIG00799381: hypothetical protein"
"Gene03082" "FIG00799391: hypothetical protein"
"Gene03083" "FIG00799403: hypothetical protein"
"Gene03084" "FIG00799406: hypothetical protein"
"Gene03085" "FIG00799408: hypothetical protein"
"Gene03086" "FIG00799413: hypothetical protein"
"Gene03087" "FIG00799423: hypothetical protein"
"Gene03088" "FIG00799427: hypothetical protein"
"Gene03089" "FIG00799428: hypothetical protein"
"Gene03090" "FIG00799430: hypothetical protein"
"Gene03091" "FIG00799432: hypothetical protein"
"Gene03092" "FIG00799433: hypothetical protein"
"Gene03093" "FIG00799435: hypothetical protein"
