"Annotation" "Fasta-name" "Occurence" "AverageSize(bp)"
"LSU ribosomal protein L6p (L9e)" "Gene05604" "230" "534"
"LSU ribosomal protein L7p/L12p (P1/P2)" "Gene05605" "231" "378.3"
"LSU ribosomal protein L9p" "Gene05606" "230" "571.26"
"LSU rRNA pseudouridine(955/2504/2580) synthase (EC 5.4.99.24)" "Gene05616" "227" "1393.44"
"Lysine 2,3-aminomutase (EC 5.4.3.2)" "Gene05624" "228" "1064.88"
"Lysophospholipase L2 (EC 3.1.1.5)" "Gene05634" "209" "1002.97826086957"
"Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)" "Gene05636" "205" "3359.60869565217"
"Lysyl-tRNA synthetase (class I) (EC 6.1.1.6)" "Gene05647" "229" "1724.82"
"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)" "Gene05653" "225" "859.86"
"Maf-like protein" "Gene05665" "219" "606.9375"
"Malonyl-CoA decarboxylase (EC 4.1.1.9)" "Gene05705" "217" "1428.06382978723"
"Malyl-CoA lyase (EC 4.1.3.24) @ Beta-methylmalyl-CoA lyase (EC 4.1.3.-) @ Citramalyl-CoA lyase (EC 4.1.3.-)" "Gene05722" "208" "1050.78260869565"
"MATE efflux family protein" "Gene05751" "220" "1444.77551020408"
"Membrane alanine aminopeptidase N (EC 3.4.11.2)" "Gene05759" "228" "2620.08"
"Membrane lipoprotein lipid attachment site containing protein USSDB6D" "Gene05763" "227" "636.12"
"Membrane protein insertion efficiency factor YidD" "Gene05770" "223" "333.78"
"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly" "Gene05810" "231" "486.54"
"Metal-dependent hydrolases of the beta-lactamase superfamily I" "Gene05811" "224" "923.5"
"Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein" "Gene05812" "230" "812.88"
"Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)" "Gene05840" "206" "633.521739130435"
"Methionyl-tRNA formyltransferase domain protein" "Gene05854" "207" "856.95652173913"
"Methionyl-tRNA formyltransferase related protein" "Gene05855" "227" "865.14"
"Methoxyneurosporene dehydrogenase (EC 1.14.99.-)" "Gene05857" "200" "1520.52272727273"
"Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74)" "Gene05883" "228" "1420.14"
"Methylmalonyl-CoA epimerase (EC 5.1.99.1) @ Ethylmalonyl-CoA epimerase" "Gene05892" "229" "405"
"Methylmalonyl-CoA mutase large subunit, MutB (EC 5.4.99.2)" "Gene05894" "226" "2165.64"
"Methylmalonyl-CoA mutase small subunit, MutA (EC 5.4.99.2)" "Gene05895" "227" "1875.6"
"Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)" "Gene05898" "208" "1685.34782608696"
"Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81)" "Gene05919" "204" "1089.33333333333"
"Mitochondrial processing peptidase-like protein (EC 3.4.24.64)" "Gene05942" "228" "1285.74"
"Mll7655 protein" "Gene05978" "223" "608.020408163265"
"Mlr1592 protein" "Gene05994" "222" "355.530612244898"
"Mlr6145 protein" "Gene06024" "229" "397.68"
"Mlr7408 protein" "Gene06034" "222" "1017.96"
"Mlr7830 protein" "Gene06039" "226" "510.12"
"Mn-dependent transcriptional regulator MntR" "Gene06053" "208" "487.565217391304"
"Molybdenum cofactor biosynthesis protein MoaB" "Gene06066" "230" "560.1"
"Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)" "Gene06068" "223" "634.44"
"Molybdopterin synthase catalytic subunit MoaE (EC 2.8.1.12)" "Gene06085" "223" "462.24"
"Molybdopterin synthase sulfur carrier subunit" "Gene06086" "229" "256.2"
"Monofunctional biosynthetic peptidoglycan transglycosylase" "Gene06091" "231" "739.74"
"MotA/TolQ/ExbB proton channel family protein, probably associated with flagella" "Gene06104" "227" "992.938775510204"
"MotB-like protein Atu3746" "Gene06105" "228" "1035.18"
"Murein endolytic transglycosylase MltG" "Gene06158" "229" "1386.42"
"N-acetylornithine aminotransferase (EC 2.6.1.11)" "Gene06210" "227" "1194.9"
"N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27)" "Gene06241" "206" "894.913043478261"
"N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)" "Gene06242" "226" "1051.8"
"N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)" "Gene06243" "228" "505.08"
"N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)" "Gene06244" "226" "1109.76"
"NAD kinase (EC 2.7.1.23)" "Gene06272" "230" "769.08"
"NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase" "Gene06274" "216" "2052.78"
"NAD-dependent formate dehydrogenase alpha subunit" "Gene06280" "212" "2801.87755102041"
"NAD-dependent formate dehydrogenase beta subunit" "Gene06281" "217" "1552.83673469388"
"NAD-dependent formate dehydrogenase gamma subunit" "Gene06283" "218" "476.875"
"NADH pyrophosphatase (EC 3.6.1.22), decaps 5'-NAD modified RNA" "Gene06316" "229" "922.285714285714"
"NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)" "Gene06323" "231" "588.24"
"NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)" "Gene06324" "231" "651.78"
"NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)" "Gene06326" "228" "1214.34"
"NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)" "Gene06328" "230" "2074.32"
"NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)" "Gene06330" "231" "489"
"NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13) @ NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)" "Gene06343" "231" "1007.52"
"NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)" "Gene06348" "231" "464.88"
"Nicotinate phosphoribosyltransferase (EC 6.3.4.21)" "Gene06378" "226" "1296.18"
"Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)" "Gene06379" "224" "589.38"
"Nitrogen regulation protein NtrB (EC 2.7.13.3)" "Gene06433" "230" "1133.22"
"Nitrogen regulation protein NtrY (EC 2.7.3.-)" "Gene06435" "229" "2330.94"
"Nitrogen regulatory protein P-II" "Gene06436" "231" "339.96"
"Nitrogen regulatory protein P-II, GlnK" "Gene06437" "230" "339"
"NLP/P60 family lipoprotein SMc02827" "Gene06459" "229" "874.08"
"Nucleoid-associated protein YaaK" "Gene06497" "229" "323.22"
"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)" "Gene06499" "230" "634.8"
"Nucleoside diphosphate kinase (EC 2.7.4.6)" "Gene06505" "230" "423"
"Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)" "Gene06507" "226" "860.34"
"Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)" "Gene06545" "230" "712.26"
"Oligoendopeptidase F-like protein" "Gene06553" "230" "1865.76"
"Ornithine carbamoyltransferase (EC 2.1.3.3)" "Gene06606" "229" "940.86"
"Ornithine decarboxylase (EC 4.1.1.17)" "Gene06608" "205" "2316.45652173913"
"Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)" "Gene06610" "226" "710.326530612245"
"Outer membrane beta-barrel assembly protein BamE" "Gene06626" "230" "489.9"
"Outer membrane component of TAM transport system" "Gene06627" "228" "1976.88"
"Outer membrane lipoprotein carrier protein LolA" "Gene06632" "218" "942.12"
"Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW" "Gene06692" "230" "1175.76"
"PaaD-like protein (DUF59) involved in Fe-S cluster assembly" "Gene06697" "230" "383.22"
"Pantothenate kinase (EC 2.7.1.33)" "Gene06700" "231" "1009.98"
"Peptidase B (EC 3.4.11.23)" "Gene06751" "231" "1374.24"
"Peptide chain release factor 2" "Gene06773" "214" "966"
"Peptide chain release factor 3" "Gene06776" "231" "1619.1"
"Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)" "Gene06778" "228" "891.66"
"Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)" "Gene06786" "230" "1161.6"
"Peptidoglycan lipid II flippase MurJ" "Gene06788" "207" "1537.92"
"Peptidyl-tRNA hydrolase (EC 3.1.1.29)" "Gene06797" "231" "623.58"
"Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29)" "Gene06798" "229" "425.16"
"Peptidylprolyl isomerase, FKBP-type (EC 5.2.1.8)" "Gene06799" "208" "414.847826086957"
"Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)" "Gene07023" "228" "1072.74"
"Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)" "Gene07024" "227" "2397.24"
"Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)" "Gene07038" "228" "1285.44"
"Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)" "Gene07045" "231" "1050.3"
"Phosphatidate cytidylyltransferase (EC 2.7.7.41)" "Gene07047" "227" "854.64"
"Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)" "Gene07054" "231" "1095.72"
"Phosphocarrier protein, nitrogen regulation associated" "Gene07058" "231" "322.5"
"Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)" "Gene07061" "228" "1618.5"
"Phosphoenolpyruvate synthase regulatory protein" "Gene07065" "230" "834.9"
"Phosphoglycerate mutase family (Rhiz)" "Gene07087" "225" "603.061224489796"
"Phosphopantetheine adenylyltransferase (EC 2.7.7.3)" "Gene07122" "229" "503.7"
"Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)" "Gene07123" "228" "1253.28"
"Phosphopentomutase (EC 5.4.2.7)" "Gene07124" "227" "1220.7"
"Phosphoribosylamine--glycine ligase (EC 6.3.4.13)" "Gene07130" "226" "1297.68"
"Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)" "Gene07134" "230" "750.84"
"Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase related protein" "Gene07135" "202" "722.608695652174"
"Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)" "Gene07137" "231" "1072.5"
"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)" "Gene07140" "231" "2223.72"
"Phytoene desaturase (neurosporene-forming) (EC 1.3.99.28)" "Gene07166" "200" "1524.33333333333"
"Polar-differentiation response regulator DivK" "Gene07194" "230" "379.62"
"Polyphosphate kinase (EC 2.7.4.1)" "Gene07213" "228" "2367.54"
"Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)" "Gene07215" "224" "2217.3"
"Porphobilinogen deaminase (EC 2.5.1.61)" "Gene07233" "231" "917.52"
"Possible glutaminyl transferase clustered with tetrahydromethanopterin biosynthesis genes" "Gene07254" "206" "914.54347826087"
"Possible serine protease, htrA-like" "Gene07280" "222" "979.375"
"Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)" "Gene07304" "210" "1473.95744680851"
"Predicted NAD regulator in Alphaproteobacteria" "Gene07353" "206" "1036.78723404255"
"Prephenate dehydratase (EC 4.2.1.51)" "Gene07388" "228" "859.2"
"Prephenate dehydratase-associated ABC transporter, permease protein 1" "Gene07391" "229" "1103.46"
"probable iron binding protein from the HesB_IscA_SufA family" "Gene07462" "231" "327.06"
"Probable transcriptional regulatory protein YebC" "Gene07524" "229" "747"
"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type" "Gene07555" "231" "1330.68"
"Protein containing domains DUF403" "Gene07580" "218" "947.875"
"Protein containing domains DUF404, DUF407" "Gene07581" "219" "1451.125"
"Protein containing domains DUF404, DUF407, DUF403" "Gene07582" "203" "2546.9347826087"
"protein of unknown function DUF1244" "Gene07601" "230" "316.74"
"Protein of unknown function DUF374" "Gene07635" "221" "762.893617021277"
"Protein of unknown function DUF55" "Gene07643" "229" "419.52"
"Protein translocase membrane subunit SecG" "Gene07681" "228" "440.28"
"Protein translocase subunit SecD" "Gene07684" "231" "1603.44"
"Protein translocase subunit SecF" "Gene07686" "230" "945.84"
"Protein translocase subunit SecY" "Gene07687" "229" "1342.92"
"Protein translocase subunit YajC" "Gene07688" "230" "333.84"
"Protein-export protein SecB (maintains pre-export unfolded state)" "Gene07702" "231" "504.06"
"Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1)" "Gene07720" "200" "3620.93333333333"
"Protoporphyrin IX Mg-chelatase subunit I (EC 6.6.1.1)" "Gene07721" "202" "1034.8"
"Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)" "Gene07723" "229" "432.96"
"PTS system permease (IIAMan), nitrogen regulatory IIA protein" "Gene07736" "231" "401.94"
"PucC protein" "Gene07749" "200" "1413.06666666667"
"Purine nucleoside phosphorylase (EC 2.4.2.1)" "Gene07751" "228" "807.36"
"Putaive isomerase" "Gene07753" "203" "865.866666666667"
"Putative glutamine amidotransferase YafJ" "Gene07896" "204" "861.978260869565"
"Putative heme iron utilization protein" "Gene07920" "223" "790.8"
"Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2" "Gene07944" "223" "465.12"
"Putative pre-16S rRNA nuclease YqgF" "Gene08059" "231" "507.42"
"Putative Zn-dependent protease PA5047" "Gene08197" "204" "1482.45652173913"
"Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)" "Gene08199" "230" "1112.64"
"Pyridoxal 5-phosphate (PLP)-dependent ornithine decarboxylase (EC 4.1.1.17)" "Gene08211" "231" "1165.92"
"Pyridoxal kinase (EC 2.7.1.35)" "Gene08213" "229" "850.68"
"Pyridoxal phosphate-containing protein YggS" "Gene08214" "227" "731.76"
"Pyridoxal-5'-phosphate phosphatase (EC 3.1.3.74), Alphaproteobacterial type" "Gene08217" "231" "744.12"
"Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)" "Gene08225" "226" "771.36"
"Pyrophosphate-energized proton pump (EC 3.6.1.1)" "Gene08233" "225" "2138.34"
"Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)" "Gene08242" "225" "1058.94"
"Queuine tRNA-ribosyltransferase (EC 2.4.2.29)" "Gene08255" "227" "1135.2"
"Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)" "Gene08263" "209" "864.127659574468"
"Quinolinate synthetase (EC 2.5.1.72)" "Gene08264" "208" "1025.42553191489"
"Radical SAM protein required for addition of adenosine to hopane skeleton, HpnH" "Gene08270" "209" "1162.69565217391"
"Recombination protein RecR" "Gene08281" "228" "606"
"Regulator of carotenoid biosynthesis; Transcriptional regulator, PpsR" "Gene08291" "204" "1430.73333333333"
"Related to Dihydropteroate synthase" "Gene08306" "206" "1546.10869565217"
"Replication-associated recombination protein RarA" "Gene08323" "220" "1341.42"
"Response regulator NasT" "Gene08351" "214" "606"
"Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)" "Gene08396" "230" "637.38"
"Ribonuclease III (EC 3.1.26.3)" "Gene08408" "231" "764.4"
"Ribonuclease J (endonuclease and 5' exonuclease)" "Gene08409" "229" "1674.18"
"Ribonuclease P protein component (EC 3.1.26.5)" "Gene08411" "225" "522.84"
"Ribonuclease PH (EC 2.7.7.56)" "Gene08412" "231" "714.6"
"Ribonuclease T2 family protein" "Gene08413" "228" "663.96"
"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)" "Gene08431" "227" "944.22"
"Ribosomal protein L11 methyltransferase" "Gene08436" "230" "924.72"
"Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4)" "Gene08438" "229" "1345.38"
"Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128)" "Gene08441" "210" "504.260869565217"
"Ribosome association toxin RatA" "Gene08445" "231" "459.72"
"Ribosome hibernation promoting factor Hpf" "Gene08446" "230" "599.82"
"Ribosome recycling factor" "Gene08448" "231" "563.94"
"Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)" "Gene08450" "227" "289.02"
"Ribosome-binding factor A" "Gene08451" "231" "432.06"
"RNA binding methyltransferase FtsJ like" "Gene08472" "227" "827.82"
"RNA pseudouridylate synthase" "Gene08491" "226" "694.56"
"S-adenosylmethionine synthetase (EC 2.5.1.6)" "Gene08534" "227" "1178.64"
"S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)" "Gene08538" "225" "1074.24"
"SAM-dependent methyltransferase 2, in cluster with Hydroxyacylglutathione hydrolase" "Gene08549" "228" "744.06"
"SAM-dependent methyltransferase, MidA" "Gene08555" "227" "1100.28"
"Sensor histidine kinase ChvG (EC 2.7.3.-)" "Gene08594" "231" "1838.52"
"Seryl-tRNA synthetase (EC 6.1.1.11)" "Gene08655" "228" "1336.26"
"Signal recognition particle protein Ffh" "Gene08695" "229" "1570.44"
"Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C" "Gene08727" "228" "691.5"
"Similar to secretin RcpA/CpaC, associated with Flp pilus assembly" "Gene08730" "209" "495.717391304348"
"Site-specific tyrosine recombinase XerC" "Gene08754" "227" "1042.86"
"Soluble lytic murein transglycosylase (EC 3.2.1.-)" "Gene08791" "208" "1406.1875"
"Spermidine N1-acetyltransferase (EC 2.3.1.57)" "Gene08805" "203" "557.021739130435"
"Squalene synthase (EC 2.5.1.21)" "Gene08824" "209" "928.9375"
"SSU ribosomal protein S10p (S20e)" "Gene08831" "227" "309"
"SSU ribosomal protein S12p (S23e)" "Gene08833" "231" "372"
"SSU ribosomal protein S16p" "Gene08837" "228" "362.16"
"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent" "Gene08839" "231" "256.26"
"SSU ribosomal protein S19p (S15e)" "Gene08840" "230" "279"
"SSU ribosomal protein S1p" "Gene08841" "228" "1713.3"
"SSU ribosomal protein S20p" "Gene08842" "229" "268.44"
"SSU ribosomal protein S21p" "Gene08843" "211" "316.8"
"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent" "Gene08846" "231" "619.86"
"SSU ribosomal protein S5p (S2e)" "Gene08847" "230" "580.92"
"SSU ribosomal protein S7p (S5e)" "Gene08849" "230" "471"
"SSU ribosomal protein S8p (S15Ae)" "Gene08850" "230" "396"
"SSU ribosomal protein S9p (S16e)" "Gene08851" "229" "485.571428571429"
"SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)" "Gene08859" "229" "737.52"
"Succinate dehydrogenase flavin-adding protein, antitoxin of CptAB toxin-antitoxin" "Gene08880" "228" "297"
"Sugar fermentation stimulation protein SfsA" "Gene08910" "227" "734.7"
"Sulfate transport system permease protein CysT" "Gene08930" "210" "859.04347826087"
"Sulfate transport system permease protein CysW" "Gene08931" "209" "894"
"Sulfur acceptor protein => iron-sulfur cluster assembly SufE" "Gene08945" "225" "431.571428571429"
"Sulfur carrier protein FdhD" "Gene08948" "221" "858"
"Sulfur carrier protein ThiS" "Gene08949" "206" "213"
"Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)" "Gene08971" "206" "576.913043478261"
"Thiazole synthase (EC 2.8.1.10)" "Gene09058" "211" "852.195652173913"
"Threonine dehydratase biosynthetic (EC 4.3.1.19)" "Gene09088" "215" "1577.8085106383"
"Threonine synthase (EC 4.2.3.1)" "Gene09094" "230" "1413.48"
"Threonyl-tRNA synthetase (EC 6.1.1.3)" "Gene09100" "228" "2025.6"
"Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) / SUA5 domain with internal deletion" "Gene09101" "224" "996"
"Thymidine phosphorylase (EC 2.4.2.4)" "Gene09103" "228" "1311.375"
"Tim44-like domain protein" "Gene09109" "226" "717.96"
"TPR domain protein" "Gene09151" "228" "866.22"
"Transamidase GatB domain protein" "Gene09167" "231" "459.18"
"Transcription elongation factor GreA" "Gene09171" "231" "486.24"
"Transcription elongation factor GreB" "Gene09172" "229" "470.34"
"Transcription termination protein NusA" "Gene09177" "231" "1642.14"
"Transcription termination protein NusB" "Gene09178" "224" "520.38"
"Transcriptional regulator RL3429, LysR family" "Gene09224" "210" "891.9"
"Transcriptional regulator, ArsR family / Methyltransferase fusion" "Gene09246" "229" "1016.64"
"Translation elongation factor P" "Gene09327" "229" "560.22"
"Translation elongation factor P Lys34--(R)-beta-lysine ligase" "Gene09328" "228" "1059.36"
"Translation elongation factor Ts" "Gene09329" "230" "923.58"
"Translation initiation factor 1" "Gene09331" "223" "276.6"
"Translation initiation factor 3" "Gene09333" "231" "524.58"
"Trehalose-6-phosphate phosphatase (EC 3.1.3.12)" "Gene09435" "229" "751.38"
"Triphosphoribosyl-dephospho-CoA synthetase" "Gene09454" "206" "863.152173913043"
"tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase (EC 2.1.1.200)" "Gene09462" "231" "746.64"
"tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)" "Gene09465" "227" "728.4"
"tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)" "Gene09472" "226" "758.16"
"tRNA pseudouridine(55) synthase (EC 5.4.99.25)" "Gene09473" "228" "1021.62"
"tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)" "Gene09474" "228" "1234.86"
"tRNA threonylcarbamoyladenosine biosynthesis protein TsaB" "Gene09475" "229" "682.86"
"tRNA threonylcarbamoyladenosine biosynthesis protein TsaE / Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA" "Gene09476" "229" "1605.78"
"tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE" "Gene09477" "227" "1326.6"
"tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG" "Gene09478" "230" "1883.64"
"tRNA-dihydrouridine synthase DusB" "Gene09492" "228" "1035.54"
"tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91)" "Gene09493" "224" "987.54"
"tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)" "Gene09503" "230" "1346.34"
"tRNA-Leu-TAG" "Gene09510" "226" "85.02"
"tRNA-modifying protein YgfZ" "Gene09514" "231" "850.08"
"tRNA-Ser-GGA" "Gene09559" "230" "90"
"tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)" "Gene09561" "229" "1159.32"
"tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)" "Gene09562" "230" "463.08"
"Tryptophan synthase alpha chain (EC 4.2.1.20)" "Gene09588" "229" "845.4"
"Tryptophan synthase beta chain (EC 4.2.1.20)" "Gene09589" "231" "1237.86"
"Tryptophan-rich sensory protein precursor" "Gene09592" "201" "501.272727272727"
"Two-component sensor histidine kinase PleC" "Gene09626" "229" "2359.56"
"Type II restriction adenine-specific methylase (EC 2.1.1.72)" "Gene09660" "231" "1164.84"
"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit" "Gene09670" "209" "1238.74468085106"
"Ubiquinol-cytochrome C chaperone" "Gene09711" "229" "567.122448979592"
"Ubiquinol-cytochrome C reductase, cytochrome C1 subunit" "Gene09714" "230" "896.04"
"UDP-2,3-diacylglucosamine pyrophosphatase" "Gene09724" "227" "851.94"
"UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)" "Gene09746" "227" "928.74"
"UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)" "Gene09747" "229" "1290.6"
"UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)" "Gene09754" "228" "1409.22"
"UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)" "Gene09755" "224" "1470.96"
"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)" "Gene09757" "229" "1458.66"
"Uncharacterized ABC1 family protein CC_3312" "Gene09763" "229" "1368.3"
"Uncharacterized ABC1 family protein XCC_1720" "Gene09764" "207" "1655.73913043478"
"Uncharacterized chaperone protein YegD" "Gene09773" "228" "1257.42"
"Uncharacterized inner membrane protein RarD" "Gene09798" "215" "889.1875"
"Uncharacterized integral membrane protein Mlr5338" "Gene09799" "226" "727.125"
"Uncharacterized membrane anchored protein Mext_4159" "Gene09809" "208" "803.804347826087"
"Uncharacterized metal-dependent hydrolase YcfH" "Gene09824" "231" "800.1"
"Uncharacterized Nudix hydrolase NudL" "Gene09840" "225" "665.1"
"Uncharacterized protein CC_3750" "Gene09862" "221" "550.714285714286"
"Uncharacterized protein EC-HemY in Proteobacteria (unrelated to HemY-type PPO in GramPositives)" "Gene09870" "229" "1550.4"
"Uncharacterized protein family UPF0262" "Gene09872" "230" "503.22"
"Uncharacterized protein RL4316" "Gene09899" "225" "189.857142857143"
"Uncharacterized protein RPC_1322" "Gene09902" "204" "310"
"Uncharacterized protein RPC_1324" "Gene09903" "203" "799.333333333333"
"Uncharacterized protein RSP_1104" "Gene09905" "224" "228.84"
"Uncharacterized protein SMc04000" "Gene09919" "226" "230.22"
"Uncharacterized protein YeaG" "Gene09944" "223" "1950.875"
"Uncharacterized protein, similar to the N-terminal domain of Lon protease" "Gene09963" "231" "666.9"
"Uncharacterized proteins YbdD and YjiX" "Gene09964" "206" "228.195652173913"
"UPF0102 protein YraN" "Gene10020" "225" "381.673469387755"
"UPF0260 protein YcgN" "Gene10037" "226" "486.06"
"UPF0301 protein YqgE" "Gene10038" "230" "624.78"
"UPF0758 family protein" "Gene10056" "226" "734.94"
"Uracil phosphoribosyltransferase (EC 2.4.2.9)" "Gene10060" "231" "650.64"
"Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)" "Gene10061" "229" "706.26"
"Uracil-DNA glycosylase, family 4 (EC 3.2.2.27)" "Gene10063" "222" "928.44"
"Uridylate kinase (EC 2.7.4.22)" "Gene10101" "230" "726.3"
"Uroporphyrinogen III decarboxylase (EC 4.1.1.37)" "Gene10106" "227" "1099.38"
"UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)" "Gene10114" "227" "869.82"
"Valyl-tRNA synthetase (EC 6.1.1.9)" "Gene10120" "226" "2722.32"
"YdcF-like protein" "Gene10208" "230" "776.82"
"YpfJ protein, zinc metalloprotease superfamily" "Gene10221" "226" "903.72"
"YrbA protein" "Gene10222" "231" "237"
"Z-ring-associated protein ZapA" "Gene10224" "220" "371.64"
"Zinc ABC transporter, ATP-binding protein ZnuC" "Gene10226" "230" "871.74"
"Zinc ABC transporter, permease protein ZnuB" "Gene10229" "230" "878.76"
