"Code-link" "Short-name" "Annotation"
"365" "Gene203" "UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)"
"366" "Gene321" "Uncharacterized ABC1 family protein CC_3312"
"367" "Gene921" "Uncharacterized chaperone protein YegD"
"368" "Gene204" "Uncharacterized metal-dependent hydrolase YcfH"
"369" "Gene322" "Uncharacterized protein EC-HemY in Proteobacteria (unrelated to HemY-type PPO in GramPositives)"
"370" "Gene323" "Uncharacterized protein family UPF0262"
"371" "Gene206" "Uncharacterized protein SMc04000"
"372" "Gene207" "Uncharacterized protein, similar to the N-terminal domain of Lon protease"
"373" "Gene208" "UPF0260 protein YcgN"
"374" "Gene324" "UPF0301 protein YqgE"
"375" "Gene451" "UPF0758 family protein"
"376" "Gene209" "Uracil phosphoribosyltransferase (EC 2.4.2.9)"
"377" "Gene325" "Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)"
"378" "Gene210" "Uridylate kinase (EC 2.7.4.22)"
"379" "Gene452" "Uroporphyrinogen III decarboxylase (EC 4.1.1.37)"
"380" "Gene327" "YdcF-like protein"
"381" "Gene453" "YpfJ protein, zinc metalloprotease superfamily"
"382" "Gene211" "YrbA protein"
"383" "Gene212" "Zinc ABC transporter, ATP-binding protein ZnuC"
"384" "Gene213" "Zinc ABC transporter, permease protein ZnuB"
